time,price
2025-03-07 19:59:00,238.7500
2025-03-07 19:59:00,238.7500
2025-03-07 19:59:00,238.7500
2025-03-07 19:59:00,238.7500
2025-03-07 19:59:00,238.7500
2025-03-07 19:59:00,238.7500
2025-03-07 19:59:00,238.7500
2025-03-07 19:59:00,238.7500
2025-03-07 19:59:00,238.7500
2025-03-07 19:59:00,238.7500
2025-03-07 19:59:00,238.7500
2025-03-07 19:59:00,238.7500
2025-03-07 19:59:00,238.7500
2025-03-07 19:59:00,238.7500
2025-03-07 19:59:00,238.7500
2025-03-07 19:59:00,238.7500
2025-03-07 19:59:00,238.7500
2025-03-07 19:59:00,238.7500
2025-03-07 19:59:00,238.7500
2025-03-07 19:59:00,238.7500
2025-03-07 19:59:00,238.7500
2025-03-07 19:59:00,238.7500
2025-03-07 19:59:00,238.7500
2025-03-07 19:59:00,238.7500
2025-03-07 19:59:00,238.7500
2025-03-07 19:59:00,238.7500
